Byte #,Decimal,Hex,Binary,ASCII
0,0,0x00,0b00000000, NULL,
1,1,0x01,0b00000001,( ? ),
2,2,0x02,0b00000010,( ? ),
3,3,0x03,0b00000011,( ? ),
4,96,0x60,0b01100000,    `,
5,164,0xA4,0b10100100,( ? ),
6,128,0x80,0b10000000,( ? ),
7,240,0xF0,0b11110000,( ? ),
8,128,0x80,0b10000000,( ? ),
9,85,0x55,0b01010101,    U,
10,160,0xA0,0b10100000,( ? ),
11,170,0xAA,0b10101010,( ? ),
12,96,0x60,0b01100000,    `,
13,164,0xA4,0b10100100,( ? ),
14,128,0x80,0b10000000,( ? ),
15,240,0xF0,0b11110000,( ? ),
16,128,0x80,0b10000000,( ? ),
17,85,0x55,0b01010101,    U,
18,160,0xA0,0b10100000,( ? ),
19,170,0xAA,0b10101010,( ? ),
20,96,0x60,0b01100000,    `,
21,164,0xA4,0b10100100,( ? ),
22,128,0x80,0b10000000,( ? ),
23,240,0xF0,0b11110000,( ? ),
24,128,0x80,0b10000000,( ? ),
25,85,0x55,0b01010101,    U,
26,160,0xA0,0b10100000,( ? ),
27,170,0xAA,0b10101010,( ? ),
28,96,0x60,0b01100000,    `,
29,164,0xA4,0b10100100,( ? ),
30,128,0x80,0b10000000,( ? ),
31,240,0xF0,0b11110000,( ? ),
32,128,0x80,0b10000000,( ? ),
33,85,0x55,0b01010101,    U,
34,160,0xA0,0b10100000,( ? ),
35,170,0xAA,0b10101010,( ? ),
36,96,0x60,0b01100000,    `,
37,164,0xA4,0b10100100,( ? ),
38,128,0x80,0b10000000,( ? ),
39,240,0xF0,0b11110000,( ? ),
40,128,0x80,0b10000000,( ? ),
41,85,0x55,0b01010101,    U,
42,160,0xA0,0b10100000,( ? ),
43,170,0xAA,0b10101010,( ? ),
44,96,0x60,0b01100000,    `,
45,164,0xA4,0b10100100,( ? ),
46,128,0x80,0b10000000,( ? ),
47,240,0xF0,0b11110000,( ? ),
48,128,0x80,0b10000000,( ? ),
49,85,0x55,0b01010101,    U,
50,160,0xA0,0b10100000,( ? ),
51,170,0xAA,0b10101010,( ? ),
52,96,0x60,0b01100000,    `,
53,164,0xA4,0b10100100,( ? ),
54,128,0x80,0b10000000,( ? ),
55,240,0xF0,0b11110000,( ? ),
56,128,0x80,0b10000000,( ? ),
57,85,0x55,0b01010101,    U,
58,160,0xA0,0b10100000,( ? ),
59,170,0xAA,0b10101010,( ? ),
60,96,0x60,0b01100000,    `,
61,164,0xA4,0b10100100,( ? ),
62,128,0x80,0b10000000,( ? ),
63,240,0xF0,0b11110000,( ? ),
64,128,0x80,0b10000000,( ? ),
65,85,0x55,0b01010101,    U,
66,160,0xA0,0b10100000,( ? ),
67,170,0xAA,0b10101010,( ? ),
68,96,0x60,0b01100000,    `,
69,164,0xA4,0b10100100,( ? ),
70,128,0x80,0b10000000,( ? ),
71,240,0xF0,0b11110000,( ? ),
72,128,0x80,0b10000000,( ? ),
73,85,0x55,0b01010101,    U,
74,160,0xA0,0b10100000,( ? ),
75,170,0xAA,0b10101010,( ? ),
76,96,0x60,0b01100000,    `,
77,164,0xA4,0b10100100,( ? ),
78,128,0x80,0b10000000,( ? ),
79,240,0xF0,0b11110000,( ? ),
80,128,0x80,0b10000000,( ? ),
81,85,0x55,0b01010101,    U,
82,160,0xA0,0b10100000,( ? ),
83,170,0xAA,0b10101010,( ? ),
84,96,0x60,0b01100000,    `,
85,164,0xA4,0b10100100,( ? ),
86,128,0x80,0b10000000,( ? ),
87,240,0xF0,0b11110000,( ? ),
88,128,0x80,0b10000000,( ? ),
89,85,0x55,0b01010101,    U,
90,160,0xA0,0b10100000,( ? ),
91,170,0xAA,0b10101010,( ? ),
92,96,0x60,0b01100000,    `,
93,164,0xA4,0b10100100,( ? ),
94,128,0x80,0b10000000,( ? ),
95,240,0xF0,0b11110000,( ? ),
96,128,0x80,0b10000000,( ? ),
97,85,0x55,0b01010101,    U,
98,160,0xA0,0b10100000,( ? ),
99,170,0xAA,0b10101010,( ? ),
100,96,0x60,0b01100000,    `,
101,164,0xA4,0b10100100,( ? ),
102,128,0x80,0b10000000,( ? ),
103,240,0xF0,0b11110000,( ? ),
104,128,0x80,0b10000000,( ? ),
105,85,0x55,0b01010101,    U,
106,160,0xA0,0b10100000,( ? ),
107,170,0xAA,0b10101010,( ? ),
108,96,0x60,0b01100000,    `,
109,164,0xA4,0b10100100,( ? ),
